iter	Passed	Remaining
0	60	6001
1	73	3606
2	131	4238
3	188	4522
4	244	4637
5	299	4685
6	354	4703
7	410	4718
8	467	4730
9	525	4728
10	581	4708
11	637	4675
12	690	4623
13	776	4772
14	832	4717
15	887	4659
16	940	4591
17	995	4533
18	1057	4510
19	1125	4500
20	1199	4512
21	1259	4466
22	1318	4412
23	1373	4350
24	1434	4302
25	1497	4260
26	1557	4209
27	1617	4159
28	1680	4114
29	1742	4064
30	1800	4008
31	1857	3946
32	1913	3884
33	1970	3825
34	2054	3815
35	2112	3755
36	2171	3697
37	2228	3635
38	2283	3571
39	2343	3514
40	2402	3457
41	2459	3396
42	2516	3335
43	2570	3271
44	2628	3212
45	2683	3150
46	2741	3091
47	2797	3030
48	2852	2969
49	2907	2907
50	2962	2846
51	3017	2785
52	3072	2725
53	3125	2662
54	3183	2604
55	3237	2543
56	3292	2483
57	3348	2425
58	3404	2366
59	3460	2306
60	3515	2247
61	3569	2187
62	3628	2131
63	3685	2073
64	3746	2017
65	3802	1958
66	3859	1900
67	3914	1842
68	3969	1783
69	4024	1724
70	4080	1666
71	4135	1608
72	4196	1552
73	4257	1495
74	4310	1436
75	4366	1378
76	4420	1320
77	4475	1262
78	4532	1204
79	4587	1146
80	4640	1088
81	4696	1031
82	4751	973
83	4805	915
84	4859	857
85	4913	799
86	4967	742
87	5021	684
88	5077	627
89	5131	570
90	5178	512
91	5231	454
92	5286	397
93	5339	340
94	5392	283
95	5446	226
96	5503	170
97	5559	113
98	5614	56
99	5669	0
